Date,Not indexed,Indexed,Impressions
2025-08-05,,,1370
2025-08-06,,,1368
2025-08-07,,,1178
2025-08-08,61,180,1295
2025-08-09,62,185,1400
2025-08-10,62,185,1390
2025-08-11,62,185,1170
2025-08-12,79,184,1183
2025-08-13,79,184,1151
2025-08-14,79,184,1158
2025-08-15,79,184,1212
2025-08-16,86,180,1238
2025-08-17,86,180,1164
2025-08-18,86,180,1073
2025-08-19,94,175,1041
2025-08-20,94,175,1056
2025-08-21,94,175,1193
2025-08-22,94,175,1081
2025-08-23,96,173,1267
2025-08-24,96,173,1229
2025-08-25,96,173,1256
2025-08-26,97,172,1193
2025-08-27,97,172,1235
2025-08-28,97,172,1136
2025-08-29,97,172,1069
2025-08-30,96,173,1175
2025-08-31,96,173,1198
2025-09-01,96,173,1069
2025-09-02,100,171,913
2025-09-03,100,171,957
2025-09-04,100,171,904
2025-09-05,100,171,904
2025-09-06,102,169,964
2025-09-07,102,169,928
2025-09-08,102,169,782
2025-09-09,107,167,760
2025-09-10,107,167,787
2025-09-11,107,167,680
2025-09-12,107,167,816
2025-09-13,116,167,837
2025-09-14,116,167,745
2025-09-15,116,167,738
2025-09-16,144,156,760
2025-09-17,144,156,837
2025-09-18,144,156,715
2025-09-19,144,156,630
2025-09-20,169,150,688
2025-09-21,169,150,588
2025-09-22,169,150,544
2025-09-23,178,145,603
2025-09-24,178,145,535
2025-09-25,178,145,526
2025-09-26,178,145,560
2025-09-27,186,138,634
2025-09-28,186,138,661
2025-09-29,186,138,608
2025-09-30,191,178,595
2025-10-01,191,178,541
2025-10-02,191,178,520
2025-10-03,191,178,577
2025-10-04,277,140,698
2025-10-05,277,140,720
2025-10-06,277,140,