Reason,Source,Validation,Pages
Page with redirect,Website,Failed,98
Soft 404,Website,Failed,44
Not found (404),Website,Failed,36
Alternate page with proper canonical tag,Website,Failed,27
Redirect error,Website,Failed,4
Crawled - currently not indexed,Google systems,Failed,14
Discovered - currently not indexed,Google systems,Not Started,47
Blocked by robots.txt,Website,Started,6
Duplicate without user-selected canonical,Website,Started,1
"Duplicate, Google chose different canonical than user",Google systems,N/A,0